concept,letter,clue,distractor1,distractor2,category
Sequence,S,"What S is a control structure where instructions execute one after another, in order?",Stack (ADT),String data type,Programming fundamentals
Binary selection,BS,What BS is a control structure that chooses between exactly two paths based on a condition?,Boolean Statement,Basic Syntax,Programming fundamentals
Multiway selection,MS,What MS is a control structure that branches to one of several paths based on a single value?,Modular Subroutine,Memory Segment,Programming fundamentals
Pre-test repetition,P,What P is a loop whose condition is checked before each pass through its body?,Post-test repetition,Procedure,Programming fundamentals
Post-test repetition,P,"What P is a loop whose condition is checked after each pass, so its body always runs at least once?",Pre-test repetition,Procedure,Programming fundamentals
Counted repetition,C,"What C is a loop that runs a fixed, predetermined number of times?",Character data type,Conditional loop,Programming fundamentals
Binary number system,B,What B is a base-2 number system using only the digits 0 and 1?,Boolean data type,Boundary data,Programming fundamentals
Hexadecimal number system,H,What H is a base-16 number system using the digits 0-9 and A-F?,Heap,Header,Programming fundamentals
Decimal number system,D,What D is the standard base-10 number system used in everyday counting?,Desk checking,Dynamic typing,Programming fundamentals
Record,R,What R is a data structure that groups related fields of different types under one entity?,Real (floating point) data type,Runtime error,Programming fundamentals
Array,A,"What A is a data structure holding many values of the same type, accessed by position?",Agile methodology,Abstract syntax,Programming fundamentals
Tree,T,"What T is a data structure that models hierarchical, branching relationships between items?",Typical data,Token,Programming fundamentals
Sequential file,SF,"What SF is a file whose records are read and written strictly in order, from the start?",Static File,Segment Fragment,Programming fundamentals
Stack (ADT),S,What S is a last-in-first-out data structure where the most recently added item is removed first?,Sequence,Syntax error,Programming fundamentals
Procedure,P,"What P is a named, reusable block of code that performs an action but does not return a value?",Pre-test repetition,Post-test repetition,Programming fundamentals
Function,F,"What F is a named, reusable block of code that returns a single value?",Fragment,Flag,Programming fundamentals
Character data type,C,"What C is a data type representing a single symbol, like 'A'?",Counted repetition,Composite structure,Programming fundamentals
String data type,S,What S is a data type representing a sequence of characters (text)?,Sequence,Software quality criteria,Programming fundamentals
Boolean data type,B,What B is a data type with only two possible values: true or false?,Binary number system,Backtracking,Programming fundamentals
Integer data type,I,"What I is a data type representing a whole number, with no decimal point?",Index,Identifier,Programming fundamentals
Real (floating point) data type,R,What R is a data type representing a number that can have a decimal point?,Record,Runtime error,Programming fundamentals
Date/time data type,DT,What DT is a data type representing a calendar date and/or time value?,Data Transfer,Digital Timer,Programming fundamentals
Divide and conquer,DC,"What DC is an algorithm design strategy that splits a problem into independent subproblems, solves each, then combines the results?",Data Cache,Dynamic Compilation,Programming fundamentals
Backtracking,B,What B is an algorithm design strategy that builds a solution incrementally and abandons a path as soon as it can't lead to a valid solution?,Breakpoint,Boundary data,Programming fundamentals
Desk checking,D,"What D is manually tracing a piece of code's execution, line by line, to catch logic errors before running it?",Decimal number system,Debug session,Programming fundamentals
Object-oriented programming paradigm,OOP,What OOP is a programming paradigm that organises code around classes and objects?,Object Output Protocol,Optimised Operations Plan,Programming fundamentals
Imperative programming paradigm,IP,What IP is a programming paradigm that uses control structures and assignment statements to describe a step-by-step sequence?,Internal Pointer,Iterative Process,Programming fundamentals
Logic programming paradigm,LP,What LP is a programming paradigm that defines facts and rules and derives a solution by querying for a result consistent with them?,Linked Pointer,Local Procedure,Programming fundamentals
Functional programming paradigm,FP,"What FP is a programming paradigm that treats computation as the evaluation of functions, favouring recursion over loops?",File Pointer,Fixed Procedure,Programming fundamentals
Two's complement,TC,What TC is the standard method for representing negative integers in binary?,Ternary Conditional,Type Casting,Programming fundamentals
Data dictionary,DD,"What DD is a structured record of every variable in a system, describing its name, type, and constraints?",Double Dispatch,Direct Debugging,Programming fundamentals
Breakpoint,B,What B is a debugging marker that pauses program execution at a specific line?,Boolean data type,Backtracking,Programming fundamentals
Single line stepping,SLS,"What SLS is executing a program one line at a time, under manual control?",Standard Loop Structure,Sequential List Search,Programming fundamentals
Watch,W,What W is a debugger feature that continuously displays the current value of a chosen variable as a program runs?,Waterfall methodology,Wrapper,Programming fundamentals
Debug output statement,DO,What DO is a temporary print statement added to code to show a variable's value at a point in execution?,Dynamic Overlay,Direct Output,Programming fundamentals
Boundary data,B,What B is test data that sits exactly on the edge of a valid input range?,Binary number system,Breakpoint,Programming fundamentals
Typical data,T,"What T is test data representing an ordinary, expected input?",Tree,Threshold,Programming fundamentals
Erroneous (abnormal) data,E,"What E is test data that falls outside the valid input range, or is of the wrong type entirely?",Encoding,Exception,Programming fundamentals
Syntax error,S,"What S is an error that breaks the rules of a programming language's grammar, so the program can't run at all?",Stack (ADT),Software quality criteria,Programming fundamentals
Logic error,L,What L is an error that lets a program run without crashing but produces an incorrect result?,Loop,Literal,Programming fundamentals
Runtime error,R,What R is an error that crashes a program during execution because of a condition the code didn't account for?,Record,Real (floating point) data type,Programming fundamentals
Linear search,LS,"What LS is an algorithm that finds a target value by checking every item in a list, one at a time, in order?",Logical Sort,List Sorting,Programming fundamentals
